#,Grade,Word,Translation/Notes
739,Serf,,
740,Serf,,
741,Serf,,
742,Serf,,
743,Serf,,
744,Serf,,
745,Serf,,
746,Serf,,
747,Serf,,
748,Serf,,
749,Serf,,
750,Serf,,
751,Serf,,
752,Serf,,
753,Serf,,
754,Serf,,
755,Serf,,
756,Serf,,
757,Serf,,
758,Serf,,
759,Serf,,
760,Serf,,
761,Serf,,
762,Serf,,
763,Serf,,
764,Serf,,
765,Serf,,
766,Serf,,
767,Serf,,
768,Serf,,
769,Serf,,
770,Serf,,
771,Serf,,
772,Serf,,
773,Serf,,
774,Serf,,
775,Serf,,
776,Serf,,
777,Serf,,
778,Serf,,
779,Serf,,
780,Serf,,
781,Serf,,
782,Serf,,
783,Serf,,
784,Serf,,
785,Serf,,
786,Serf,,
787,Serf,,
788,Serf,,
789,Serf,,
790,Serf,,
791,Serf,,
792,Serf,,
793,Serf,,
794,Serf,,
795,Serf,,
796,Serf,,
797,Serf,,
798,Serf,,
799,Serf,,
800,Serf,,
801,Serf,,
802,Serf,,
803,Serf,,
804,Serf,,
805,Serf,,
806,Serf,,
807,Serf,,
808,Serf,,
809,Serf,,
810,Serf,,
811,Serf,,
812,Serf,,
813,Serf,,
814,Serf,,
815,Serf,,
816,Serf,,
817,Serf,,
818,Serf,,
819,Serf,,
820,Serf,,
821,Serf,,
822,Serf,,
823,Serf,,
824,Serf,,
825,Serf,,
826,Serf,,
827,Serf,,
828,Serf,,
829,Serf,,
830,Serf,,
831,Serf,,
832,Serf,,
833,Serf,,
834,Serf,,
835,Serf,,
836,Serf,,
837,Serf,,
838,Serf,,
839,Serf,,
840,Serf,,
841,Serf,,
842,Serf,,
843,Serf,,
844,Serf,,
845,Serf,,
846,Serf,,
847,Serf,,
848,Serf,,
849,Serf,,
850,Serf,,
851,Serf,,
852,Serf,,
853,Serf,,
854,Serf,,
855,Serf,,
856,Serf,,
857,Serf,,
858,Serf,,
859,Serf,,
860,Serf,,
861,Serf,,
862,Serf,,
863,Serf,,
864,Serf,,
865,Serf,,
866,Serf,,
867,Serf,,
868,Serf,,
869,Serf,,
870,Serf,,
871,Serf,,
872,Serf,,
873,Serf,,
874,Serf,,
875,Serf,,
876,Serf,,
877,Serf,,
878,Serf,,
879,Serf,,
880,Serf,,
881,Serf,,
882,Serf,,
883,Serf,,
884,Serf,,
885,Serf,,
886,Serf,,
887,Serf,,
888,Serf,,
889,Serf,,
890,Serf,,
891,Serf,,
892,Serf,,
893,Serf,,
894,Serf,,
895,Serf,,
896,Serf,,
897,Serf,,
898,Serf,,
899,Serf,,
900,Serf,,
901,Serf,,
902,Serf,,
903,Serf,,
904,Serf,,
905,Serf,,
906,Serf,,
907,Serf,,
908,Serf,,
909,Serf,,
910,Serf,,
911,Serf,,
912,Serf,,
913,Serf,,
914,Serf,,
915,Serf,,
916,Serf,,
917,Serf,,
918,Serf,,
919,Serf,,
920,Serf,,
921,Serf,,
922,Serf,,
923,Serf,,
924,Serf,,
925,Serf,,
926,Serf,,
927,Serf,,
928,Serf,,
929,Serf,,
930,Serf,,
931,Serf,,
932,Serf,,
933,Serf,,
934,Serf,,
935,Serf,,
936,Serf,,
937,Serf,,
938,Serf,,
939,Serf,,
940,Serf,,
941,Serf,,
942,Serf,,
943,Serf,,
944,Serf,,
945,Serf,,
946,Serf,,
947,Serf,,
948,Serf,,
949,Serf,,
950,Serf,,
951,Serf,,
952,Serf,,
953,Serf,,
954,Serf,,
955,Serf,,
956,Serf,,
957,Serf,,
958,Serf,,
959,Serf,,
960,Serf,,
961,Serf,,
962,Serf,,
963,Serf,,
964,Serf,,
965,Serf,,
966,Serf,,
967,Serf,,
968,Serf,,
969,Serf,,
970,Serf,,
971,Serf,,
972,Serf,,
973,Serf,,
974,Serf,,
975,Serf,,
976,Serf,,
977,Serf,,
978,Serf,,
979,Serf,,
980,Serf,,
981,Serf,,
982,Serf,,
983,Serf,,
984,Serf,,
985,Serf,,
986,Serf,,
987,Serf,,
988,Serf,,
989,Serf,,
990,Serf,,
991,Serf,,
992,Serf,,
993,Serf,,
994,Serf,,
995,Serf,,
996,Serf,,
997,Serf,,
998,Serf,,
999,Serf,,
1000,Serf,,
1001,Serf,,
1002,Serf,,
1003,Serf,,
